,Avaliações
13,"Passamos uma noite na Herdade dos Grous. O local é bonito, mas está um tanto descuidado. Embora deixem bicicletas em cada apartamento, não há muito para onde ir ou visitar. A piscina é extremamente fria. O café da manhã precisa melhorar, não ha variedade de itens. Os quartos próximos aos cavalos tem muitas moscas. Pelo preço que cobram, esperávamos mais.
"
14,"Entre Beja e Castro Verde, encontra-se esta herdade fabulosa, enoturismo.  Um ""espanto"" a perder de vista!!!  Não faltaram ""mimos"" de boas-vindas. Uma sinfonia de cores, sons e cheiros; sensações já quase raras na vida azafamada dos nossos dias! Os alojamentos estão dispersos por ""núcleos"", bem afastados uns dos outros, permitindo alguma privacidade aos seus utentes. A suite era muito espaçosa, muito bem decorada e muito confortável - pensada para nos fazer sentir em casa! Tem tantas atividades para disfrutar! Excelente para usufruir a dois e/ou em família: caminhadas, bicicletas ao dispor em cada núcleo, passeios no lago, extensos relvados, ténis, piscinas, animais da quinta...!!! Uma injeção de ""saúde"", em especial para as crianças que podem gastar as suas energias e crescer
"
15,"Posso afirmar que foi a suíte que me hospedei mais bem preparada da minha vida. Fiquei abismado como os proprietários pensam no conforto dos hóspedes, A suíte era enorme, com um banheiro gigante. Vista espetacular. Além disso pequenos detalhes que fazem a diferença. Tinha até guarda-chuva no armário. Parabéns a todos pela qualidade em tudo que fizeram. Não posso esquecer de falar do atendimento impecável.
"
16,"Nos hospedamos por uma noite na Herdade e nos apaixonamos, o hotel é simplesmente impecável, quarto amplo, banheiro espetacular com chão aquecido, e com bombons, vinho e frutas de boas vindas. Jantamos no restaurante e estava tudo muito bom, entradas e prato principal muito bem elaborado, porém com preço elevado. Couvert, prato principal, sobremesa e vinho reserva nos custou 92 euros. O hotel disponibiliza bicicletas para os hospedes, fizemos um passeio e fui encantador. Os vinhos são Ok, variando entre 7 e 20 euros, na lojinha da adega. Destaque para o Herdade dos Grous Reserva, um vinho com custo benefício bom. Nossa estadia foi curta porém valeu muito a pena!
"
17,"Saindo de Lisboa a caminho do Algarve nós paramos em Herdade dos Grous. Que experiência especular. O lugar é lindíssimo. As vinhas, o lago, as aves, tudo no lugar certo. O quarto excelente. A comida impecável. Fizemos a visita guiada com degustação. Vinhos muito bom. A marca está a ficar famosa. Não perca tempo em se convencer a vir, somente venha!!!
"
18,"Hotel e perfeito para casais! Clima muito romântico! Lugar lindo , para aproveitar ao ar livre o sol se pôr . Agradinhos no quarto são um convite para voltarmos ! Preço um pouco alto, mas que se acaba esquecendo diante de tanta beleza, comodidade, gentileza da equipe e café da manhã, que é um espetáculo !
"
19,"Excelente local de estadia, com uma linda paisagem. Os atendentes são muito simpáticos, o quarto é lindo, aquecido, tem lareira, o banheiro é bom, recebemos mimos como frutas, vinho, chocolates água mineral. Bicicletas à disposição e 4 cachorros muito simpáticos e mansos que passeiam junto aos hóspedes pelo pátio. Valeu cada centavo dessa estadia maravilhosa.
"
20,"Foi um fim de semana fantástico!! Adoramos o quarto, muito confortável , quentinho com uns mimos a nossa espera! Como vinho, fruta , bombons, água etc...  Muito silêncio, paisagens incríveis, animais 😍 a herdade está muito bem cuidada!  Staff foi fantástico, muito prestáveis, simpáticos e atenciosos.  Foram 3 dias de muito descanso . Tivemos pena não poder fazer passeios a cavalo... responsável doente.. acontece!  Recomendamos e gostávamos muito de voltar..
"
21,"Visitamos a herdade dos grous, pela primeira vez e aproveitamos o pacote de S.Valentim. Adoramos !!! Recepção maravilhosa. Um obrigada especial ao senhor Jorge Alves e recepcionista, que foram incansáveis.  O quarto é amplo, com uma lareira e uma casa de banho espectacular com banheira.  O pacote de São Valentim foi divinal e esperamos voltar na primavera para puder aproveitar melhor os percursos de bicicleta pela herdade.  Recomendo vivamente.
"
22,"Adoro!  Foi divinal! Todos os animais, o atendimento, a disponibilidade, a liberdade. Fantástico serviço. Divinal comida. O vinho.... indescritível....dos melhores! A repetir definitivamente. Voltaremos de certeza. A lareira no quarto no verão....
"
23,"Fomos super bem recebidos nesse hotel. O lugar é maravilhoso, grande, tem duas piscinas com borda infinita com o lago e eles oferecem bicicleta para que possamos passear pela propriedade. Os quartos são grandes, confortáveis, banheiros grandes, roupão a disposição, bolsa e toalhas para piscina, bombons e vinho já te recebem gratuitamente. Varandas com vistas maravilhosas dos vinhedos. Lugar para curtir o sossego rural com conforto e vinho de ótima qualidade. O jantar tb foi delicioso e com ótimo atendimento.
"
24,"O lugar é incrível. Ja na chegada recebemos um upgrade. So chegarmos no quarto havia mimos como roupao, chinelo, vinho, frutas e chocolates. Além disso, tinhamos bicicleta no quarto, o que tornou a estadia ainda Mais especial. O restaurante do hotel é excelente, assim como a piscina. Excelente local para relaxar.
"
25,"Hotel de luxo em meio às parreiras. Incrível experiência de conforto e relaxamento. Depois de almoçar no ótimo restaurante do hotel, fizemos uma visita guiada com degustação e depois aproveitamos a piscina com borda infinita e a sauna seca em frente ao lago. Quarto lindo e limpíssimo! Decorado com flores naturais e de cortesia, água, vinho e frutas. O único arrependimento foi ter ficado somente um dia...
"
26,"A minha estadia nos grous foi fantástica. Desde a suite com uma vista incrível, a tranquilidade da piscina infinita, as imensas atividades disponíveis 24h por dia a custo zero (sauna, piscina, volei, futebol, canoas, bicicletas). O restaurante é que podia ter preços um pouco mais acessíveis, mas a qualidade é fantástica, assim como o atendimento.   Concluo com uma forte recomendação, caso desejem desfrutar do puro alentejo, fiquem nos grous, é sem dúvida uma ótima escolha.
"
27,"Local muito bem cuidado em meio a uma fazenda com animais, parreiras, oliveiras e frutas. Começamos com uma visita guiada e depois degustação de vinhos. O quarto é muito aconchegante e rico de mimos: vinho, frutas, água e chocolate. Banheiro muito gostoso e perfumado. Jantamos no restaurante um menu degustação acompanhado de vinhos da vinícola. Na área comum tem duas piscinas com borda infinita, sauna, cavalos, bicicletas...... Infelizmente só ficamos uma noite, mas o local pedia mais.
"
28,"Herdade muito bonita. Bastantes animais para deliciar todos os visitantes. Excelentes condições  de alojamento. A loja deveria ter mesas para prova de vinhos, coisa que não existe. O único senão é o preço que é um autêntico exagero.
"
29,"Este hotel já estava na lista para uma escapada há imenso tempo e aproveitando o aniversário fomos passar lá uma noite. Além de super romântico e umas vistas de sonho, sobre a barragem, os funcionários foram super simpáticos e tiveram detalhes que tornaram o dia ainda mais fantástico!
"
30,"Belo local, como o tempo estava bom escolhemos ficar na varanda, com vista para os vinhedos. Pratos bem confeccionados, cozinha do tipo alentejana com um toque gourmet, vinho de excelente qualidade, serviço atencioso.
"
31,"Caro, muito caro e a qualidade horrível. Não recomendo. Mesmo muito má. O presunto veio com ranso! A carne sem gosto é muito mal passada. A apresentação horrível. Mas enfim, lugar a não regressar seguramente.
"
32,"Ficamos duas noites no Herdade. Eu e meu marido somos apreciadores dos seus vinhos e foi a primeira vez que nos hospedamos em uma vinícola. Atendimento perfeito e outras atividades, além da degustação de vinhos, como bicicletas à disposição e observação dos pássaros, as piscinas e a barragem que fica dentro da propriedade. Ficamos em uma suíte, que é uma casa. O café da manhã maravilhoso, assim como o jantar. Fizemos também uma degustação de vinhos que foi conduzida com maestria pelo Sr. Ricardo Silva. Voltaria mil vezes.
"
33,"A Herdade dos Grous é como se fosse um hotel fazenda no Brasil porém com produção (totalmente interna, até o engarrafamento) de ótimos vinhos no Alentejo. Quarto amplo, aconchegante, serviço ótimo, atencioso, vista lista linda e comida de primeira, incluindo café da manhã e almoço (um pouco caro mas top!). Adoramos a estadia, fizemos a prova de vinhos que é paga.  A noite, um silêncio maravilhoso. Não há vida noturna alguma é focado em descanso em natureza.  Você pode pegar bikes, ir na piscina, jogar tenis, basquete e correr. Sensacional! Mas não chegue muito cedo, a recepção não é 24 horas e a noite eles literalmente fecham (você fica coma chave do hotel). Apesar de toda a modernidade dos vinhos do local, é como se hospedar na casa de um parente do interior!
"
34,"Excelente em tudo. Condições impares para uns dias de descanso em família. Fizemos a prova de vinhos e gostámos muito. O restaurante é muito bom, apenas a quantidade no prato de bacalhau pareceu-nos demasiado pequena. Vamos voltar e recomendar.
"
35,"Melhor herdade onde já estive. Possui tudo o que se pretende numas pequenas férias em família sossegadas. Ótimo. Belas paisagens, atividades como passeios a cavalo e de bicicleta. Os arredores são também bastante acolhedores. O quarto é simplesmente esplêndido.
"
36,"Sossego e bom restaurante. A Herdade é muito bonita. As casas mostram do lado exterior pequenos sinais de que alguma manutenção é necessária. Quarto espaçoso, confortável, cama muito boa, lareira com recuperador de calor e lenha disponível. A lareira funcionou muito bem, mas desaconselho a quem não tem prática. A banheira grande pede um banho de imersão mas esqueça, porque a água oriunda dum termo-acumulador não chega nem para meia banheira. Dá para 2 duches rápidos. Campo de ténis em betão poroso no meio dos eucaliptos em bom estado (rede também). Área social com mesa de snooker ( a bola branca está danificada!) , e bar mas sem serviço. Staff muito simpático.
"
37,"Lugar perfeito para a alma corpo e coração!A herdade é linda e tem todo o conforto que precisamos.O quarto enorme e quentinho tem ar condicionado,mas tem a versão lareira que lhe dá um toque especial.O melhor amanhecer de sempre com uma paisagem magnifica sobre o lago ao som dos passarinhos.Depois de um bom pequeno almoço tipo buffet,é pegar nas bicicletas que temos á disposição e percorrer a herdade e estar em contato com a natureza e ver os diversos animais ao longo da herdade.Andar de barco naquela lagoa é mesmo um paraíso!Recomendo sitio ideal para relaxar namorar ou mesmo em família!
"
38,"Herdade enorme e muito sossegada. Excelentes as lagoas da albufeira, com muitas aves. Quarto enorme, quente e com tudo o necessário. Excelente para crianças. Tem bicicletas e canoas para uso dos hóspedes. Jantar muito bom com comida da região,  assim como o pequeno almoço. Lindas piscinas e zonas relvadas. Óptimos percursos quer pedestres quer de bicicleta
"
39,"A herdade, às margens de uma represa, é belíssima e muito bem cuidada, e pode ser explorada em agradáveis passeios a pé ou de bicicleta. Gostei de tudo. Da propriedade, da equipe (agradeço a todos a excelente estadia), do restaurante de grande qualidade, dos vinhos (tanto os produzidos nos Grous como o Quinta de Valbom, produzido no Douro em vinícola pertencente ao mesmo grupo, que é o dono também do famoso hotel Vila Vita, no Algarve. Portanto pode esperar sempre alto padrão de serviço e de instalações. Quarto com muito conforto, banheiro lindo, imenso, com piso aquecido. Tudo absolutamente maravilhoso e perfeito. Altamente recomendável.
"
40,"Num enquadramento tipicamente alentejano, esta herdade oferece o que de melhor tem o Alentejo, gastronomia de qualidade suprema,os vinhos reflectem a imagem alentejana na perfeição, quartos muito agradáveis,  onde não falta absolutamente nada. Quanto ao staff, simplesmente perfeito! Vale a pena conhecer...
"
41,"O hotel é ótimo, no meio da herdade, que é enorme, tem um lago, vinhedos, oliveiras e muitos animais, dentre eles cavalos, poneis, porcos ibéricos, ovelhas, cabras, avestruz, galinha, pato, um labrador, gatos. Os quartos ficam longe da recepção, cerca de 1 km. Dispõe de bicicletas gratuitas para passear por toda a herdade. Tem também a opção de fazer observação de pássaros, a partir de 35 euros, por pessoa, sendo necessária pré reserva. Ainda tem passeio de barco, balão, visitas para conhecer a produção dos vinhos, todos que não estão inclusos no valor da diária e que também devem ser pré agendados. Deixaram como cortesia uma garrafa de água, uma do vinho mais simples da herdade e algumas frutas. Vale a pena chegar antes das 17h, para ver o por do sol, que é lindo. O quarto
"
42,"Uma Herdade Fantastica, onde se destaca o excelente atendimento. Staff educado e Atento aos promenores. Simpatia e profissionalismo do Sr Flavio Restaurante e Staff recepcao e Bar. Restaurante com uma carta interessante mas em meu ver deveria d ter mais comida Tradicional Alentejana ex Migas etc .... Comemos entrada Tiborbia mto bom de seguida um prato de Pato excelente a acompanhar vinhos 23 barricas Top . A chegada fizemos uma visita guiada a Adega. Aconselho ! Resumindo o vinho é mesmo mto bom que me adormeceu o cerebro !!  Dormimos no recanto dos deuses !!!  Aconselho Quarto Suite Junior. Pequeno almoço Simples mas tem tudo o que ue necessita . Acordamos cedo e fomos conhecer a Herdade , temos bikes Gratuitas . Uma Herdade de Sonho Obrigado .
"
43,"Passamos o fim de semana nesta herdade e ficamos impressionados pelo espaço, quartos muito bem equipados onde se conjuga o rústico com a modernidade. muito bom restaurante com uma cozinha baseada nos produtos regionais acompanhados com os excelentes vinhos da herdade. ótimo espaço com muitas atividades lúdicas que agradaram aos elementos mais novos da família
"
44,"Fomos passar um fim de semana à herdade, e adoramos tudo, desde os quartos ao restaurante. Aproveitamos também o passeio de bicicleta (gratuito) para ver os animais e desfrutar do silêncio da planicie. Os vinhos, que já conhecíamos, são divinais. Poderiam apenas melhorar o pequeno almoço. Voltaremos para o ano para andar de balão! Até breve!
"
45,"Um lugar para voltar sempre. Tudo cuidado nos mínimos detalhes, com dedicação da equipa de atendimento e instalação. Lugar lindo e tranquilo. Custo benefício perfeito. Luxo e simplicidade fazem do lugar um encanto. Diversas atividades como bicicletas, cavalos, caiaques, remo, além, é claro, da degustação de vinhos e visita guiada pela produção dos deliciosos vinhos.
"
46,"Local maravilhoso para relaxar, ler,escrever,nadar e saborear a excelente gastronomia e vinho da adega própria. A adega ė muito bonita. A herdade tem lindíssimas paisagens,redes junto ao lago para uma sesta,piscina com vista deslumbrante ,jardins bem cuidados ,espaço muito limpo e agradável. Encantadora a pequena capela e um jogo de chão de xadrez Animais bem tratados,lindos cavalos. Excelente esplanada e funcionários exemplares.
"
47,"Do primeiro contacto, aquando da reserva, ao último instante na herdade, o serviço a pautar pela correcção, amabilidade, transmitindo felicidade. Sem excepção, dos que contactam directamente com o hospede como dos que trabalham as vinhas, aquando dos meu passeios pelo espaço. Inúmeras e interessantes actividades apresentadas.  Fiquei surpreso em conseguir fazer 15 km em picada e em caminhos cobertos por pinheiros sem repetir um único trilho, acompanhando parcialmente o traçado da represa. O mesmo pode ser feito a cavalo, por exemplo. Porque estava uma manhã chuvosa apreciei uma abundância enorme de aves, rastos de javalis, texugos e raposa. Observei 4 lebres e um veado em estado selvagem. Experiência fantástica. Um local fantástico, calmo, com habitação novas e cuidadas, limpas
"
48,"Herdade pitoresca e ao mesmo tempo de condições de hotel/restaurante excelentes. Sossegado com belas paisagens e ideal para passar umas férias quer em família, quer em casal ou até sozinho. Quartos familiares com quarto, sala e boa casa de banho. Atendimento muito simpático.
"
49,"Em nossa viagem para Portugal à noite que passamos nesse lugar foi um dos pontos altos da viagem. Lugar incrível. Paisagem linda, quarto maravilhoso, duas piscinas deliciosas, bicicletas à disposição. A visita e degustação de vinhos foi muito bem conduzida e muito interessante.  Atendimento super simpático e eficaz. Recomendo fortemente a visita a esse lugar incrível, que voltarei com certeza.
"
50,"Tinha tirado uns dias de férias em comum com a minha esposa, coisa rara nos últimos tempos e que por isso mesmo merecia um sítio que estivesse à altura. Quando ao pesquisar no Booking me apercebo que a Herdade dos Grous tinha disponibilidade bem hesitei, uma vez que já não era a primeira tentativa e normalmente se encontra lotado. Cumpriu e superou todas e quaisquer expectativas. O atendimento é simpático, cuidado e atencioso. A herdade é lindíssima, as piscinas com paisagens de cortar a respiração e tudo impecavelmente tratado. Os quartos cumprem tudo o que é necessário num loca como este. O restaurante está à altura com pratos da cozinha tradicional alentejana é um toque de sofisticação sem cair em exageros! O vinho é do conhecimento comum a qualidade dos mesmos, mas há
"
51,"Para além da qualidade reconhecida do vinho, fizemos uma prova com guia que nos contou a história do local. Depois permitiram-nos visitar uma cave especial para jantares românticos muito bonita. Os exteriores são também muito agradáveis.
"
52,"Excelente espaço no meio do Alentejo para degustar uma boa refeição. Bom restaurante com uma carta que denota cuidado e alguma inovação. Bons vinhos com  destaque para a os da Herdade dos Grous, em especial o Moon Harvest. Menção honrosa para os lombos de porco com arroz terra e mar. Excelente prato bem confeccionado misturando os sabores da terra e do mar numa junção perfeita. Excelente atendimento demonstrando permanente cuidado com o cliente. A repetir sem duvida.
"
53,"Trata-se de um local fantástico, muito nem integrado no espaço, bem decorado e onde todos os pormenores foram cuidadosamente pensados. Ali nada é deixado ao acaso... Comunhão perfeita entre o meio ambiente, animais, agricultura e pessoas... E os vinhos? Esses são sublimes... Pode visitar e ficar a conhecer todos os passos na produção de vinho da Herdade, pode ainda desfrutar de uma prova de todos os vinhos acompanhada por especialistas... A disponibilidade e simpatia de todos os funcionários, começando no Director até à Camareira... Restaurante sofisticado que alia de forma única a cozinha tradicional à sofisticação na preparação e confecção dos pratos... Local óptimo para famílias e com múltiplas actividades sempre a decorrer... Quer montar a cavalo? Ali pode! Quer fazer
"
54,"Certamente um dos lugares mais bonitos onde fiquei hospedada! A envolvência da propriedade de tirar a respiração, a herdade está muito bem cuidada Boa manutenção em todas as áreas incluindo a vinha. Há muitas atividades disponíveis, andar de gaivota, de bicicleta fazer passeios pela herdade e observar os vários animais e diversidade de aves. Piscinas com uma vista linda. Visita à adega obrigatória. Os quartos muito espaçosos e confortáveis. Pequeno-almoço muito bom, melhor sumo de laranja natural que já bebi.
"
55,"O único senão é mesmo definirem o mercado alemão como prioritário. Ex. restaurante só para alemães, isolamento dos mesmo dos restantes clientes.  Hotel muito agradável, original no seu sistema e organização geral( ex. ter bebidas a disposição na piscina e ser o próprio a apontar o consumo) acho uma boa política de confiança entre clientes e unidade. hotel no geral fabuloso.
"
56,"Ambiente incrível! Redondezas óptimas para passear em contacto com a natureza! Piscina muito boa!  Os quartos são enormes e óptimos!  Optamos por jantar no restaurante do hotel e não desiludiu em nada! Tudo muito bom!  Havemos de voltar assim que possível!
"
57,"Nossa visita foi completamente improvisada como hoje tentamos almoçar na Ovibeja, mas quando chegamos, a fila para entrar na exposição parecia ter varias centenas de metros e, então, partimos a procura dum local melhor para o nosso almoço. Utilizamos o Tripadvisor, acabamos por ir a Herdade dos Grous. Tive que ligar para pedir indicações para GPS e fui gentilmente ajudada. O restaurante tem aspecto agradavelmente rústico. Opimas vistas para campo! Instalações comodas - um bebe faz parte da nossa família e instalações sanitárias próprias são importantes para nos. Tudo que comemos sabia muito bem. O prato foi bife de vitela da quinta com crosta de ervas - muito bom! Único senão são caras ""enjoadas"" de quase todos funcionários... Não sei, tal vez apanhamo-los no mau dia...
"
58,"Herdade de um excelente vinho, local magnifico para descansar em contacto com a natureza, muitas actividades ao dispor e para melhorar a experiencia fomos brindados com um upgrade para uma suite fantástica, jantar muito bom acompanhado de um excelente vinho.
"
59,"Espaço fantástico para todas as opções de saída,  seja de família, romântica ou simplesmente para descarregar o stress do dia a dia.  Quarto super acolhedor e confortável. A vista sobre a albufeira é muito relaxante.
"
60,"Esta herdade é o expoente máximo do relax. Tem montes de actividades para fazer. Os quartos são enormes, muito bem equipados e com lareira. A simpatia do pessoal merece muito mais que cinco estrelas. Recomendo a 200%.
"
61,"A Herdade dos Grous surpreende desde a chegada até ao último minuto da nossa estadia. Será difícil enunciar todas as qualidades deste alojamento sem ser demasiado extensivo na escrita dada a infinidade de pormenores que despertaram a minha atenção, no entanto gostaria de destacar: - Simpatia de todo o pessoal, desde a recepcionista, ao staff responsável pela prova de vinhos, empregados do restaurante, etc.  - Atenção no cuidado ao cliente para que nada lhe falte e tenha o maior conforto possível (até um maço de cigarros me levaram à mesa para evitar que tivesse de sair da Herdade para ir comprar) - Todos os detalhes de conforto, decoração e qualidade do espaço, desde a flor nas toalhas de banho, bom-bons nas almofadas, garrafa de vinho Grous no quarto como cortesia da casa,
"
62,"Os quartos são muito confortáveis, tudo de muito bom gosto.  O lugar é lindo, cercado pelo verde do Algarve. A propriedade é bem grande e as acomodações ficam divididas em três construções separadas por uma certa distância. O hotel coloca bicicletas a disposição dos hóspedes para os deslocamentos. A comida é maravilhosa. Se pudesse, teria ficado mais tempo. Fiz a visita à vinícula e prova de vinhos.
"
63,"A minha avaliação é de 5 estrelas e a herdade merece cada uma delas. Excelente atendimento, excelentes condições, excelente em tudo! Ficamos numa suite que mais parecia um apartamento, super espaçoso e com uma excelente apresentação. Ofereceram-nos uma garrafa de vinho que ainda que fosse uma gama baixa era de excelente qualidade. Recomendo a prova de vinhos que são fenomenais. A herdade dispõe de piscina, sauna, ginásio e diversas atividades como passeios a cavalo por exemplo. O restaurante ainda que seja pouco caro tem o preço que era de esperar para um local onde se paga a qualidade, ainda assim, vale a experiência. Aconselho vivamente!
"
64,"Magnifico é a minha avaliação. O quarto mais parece um apartamento, tinha lareira uma casa d banho enorme, uma cama excelente. Fomos presenteados com uma bela garrafa de vinho é um serviço 6 estrelas. A herdade é lindíssima com excelentes zonas para passear,adorei o facto de termos bicicletas a nossa disposição e podemos ir passear no lago em gaivotas ou canoas. Tem uma sauna disponível para os convidados que neste fim de semana foi toda nossa.  Fizemos a visita guiada a adega que foi giro, já tinha feito em destilarias de scotch esta foi boa mas não ao mesmo nível, algo que é compreensível mas recomendo vivamente fazer!  O pessoal é impecável! Este sítio no verão ou com calor deve ser espectáculo também diria que para um retiro de familia é o ideal, melhor que muitos resorts
"
65,"Muito bom, sossegado, paisagem linda. Tudo muito bem cuidado o quarto excelente com lareira varanda vista para o lago! Acordamos com o som dos pássaros cantando! Perfeito para festejar e namorar! Comida excelente e com o vinho perfeito a acompanhar! Vamos voltar com toda a família!
"
66,"Lugar fantástico! Muito bem decorado, acolhedor, com gente muito simpática e disponível! Lindo! Óptimo para passar uns dias de verão pois tem uma piscina muito gira, barragem onde se pode andar de barco, cavalos, etc. comida ótima! A regressar e recomendar!
"
67,"Um espaço muito bem concebido! Bons vinhos, pessoal simpático. Recomendo pararem e provarem algum dos vinhos da herdade com as iguarias sugeridas.  De inverno o final de uma tarde domingueira pode ser passada à lareira, com um bom copo de vinho na mão.
"
68,"Localização top, bem como toda a envolvente: tudo muito bonito, bem cuidado e excelentemente preservado. Recomendo a tour de tractor que dá para ter uma perspectiva da fauna, das vinhas e da dimensão da propriedade. A melhorar, apenas o tempo de espera no restaurante que foi demasiado.  De resto, excelente. Recomendo.
"
69,"Ambiente confortável, paisagem linda,experiências novas. Toda a herdade está muito bem tratada e fomos muito bem acolhidos. Quartos super confortáveis, agradável passeio de trator pela quinta. Boa fauna e flora para visitar. Maravilhoso lago.
"
70,"Instalações muito boas, bons acessos, serviço simpático, fizemos visita as adegas com prova dos vinhos que como já sabíamos são fantásticos. A herdade é enorme. O quarto que nos deram era mais uma casa térrea com uma sala com lareira  e cozinha. Para voltar sem dúvida.
"
71,"Para quem gosta de comer e beber bem. A natureza envolvente, as provas de vinho a visita a adega, e o maravilhoso néctar que é produzido nesta herdade...  O único senão, foi o pouco tempo que ficamos (uma noite)...
"
72,"Decidimos aproveitar um dos últimos fins de semana com temperaturas de verão para conhecer a Herdade dos Grous. Para começar com esta “review” diria que a experiência superou as minhas espectativas a todos os níveis. O site não faz justiça à beleza da Herdade, mas é normal, como pretender transmitir a magia de uma propriedade de 730 há em algumas fotos? Em primeiro lugar, destacar a simpatia e profissionalismo do pessoal, desde a recepção até o restaurante passando pelas empregadas de quarto… e uma menção muito especial ao João, o monitor de equitação. O quarto, situado na casa principal, tinha tudo o que se pode esperar de um quarto numa estância de alto standing e mais até. A propriedade dispões de 2 zonas recreativas, com piscinas magníficas e tudo o que se pode imaginar para
"
