,Avaliações
24,"A Herdade é linda, são todos super simpáticos e super prestáveis. Tivemos um pequeno episódio de saúde que nada teve a ver com o hotel e prontamente nos disponibilizaram um estúdio para podermos cozinhar, visto termos uma filha pequena. Está tudo muito bem cuidado, desde a decoração aos jardins. Vamos voltar! Adorámos!
"
25,"Tudo foi perfeito na Herdade Barradas da Serra!! A Herdade está situado num local tranquilo e magnífico entre a natureza. As instalações, com uma decoração maravilhosa, proporcionaram um excelente conforto e bem estar nesta “escapadinha” de fim de semana. O pequeno almoço, muito variado e de muito boa qualidade, é servido com carinho e simpatia, não só da proprietária Elsa como de todo o staff. A companhia do Benji (um cão muito educado e  patusco), ainda torna mais agradável está refeição.  Obrigada Elsa, Luís e Francisco (proprietários) por terem pensado em todos os pormenores e estarem sempre presentes, providenciando para que nada falte. Adorámos e voltaremos. Leonor e Luís
"
26,"Um turismo diferentes dos outros, pois vê-se que estão sempre a melhorar. Quartos impecáveis, sossego,pequeno almoço com muita qualidade, muitos caminhos para passear (pé, bicicleta), anfitriões muito prestáveis e simpáticos. E com a vantagem de ficar muito perto da praia, podemos ter campo e praia. Obrigado
"
27,"Excelente surpresa !!! Uma local muito agradável em pleno Alentejo! Hotel muito tranquilo, no meio da natureza. --- Óptimos quartos --- Tudo muito limpo --- Jardins muito bem tratados --- Excelente pequeno-almoço --- Muita simpatia por parte dos Proprietários e do Staff --- Sempre disponível para satisfazer os pedidos dos Clientes  O local é simplesmente fantástico e ideal para descansar, ouvindo o silêncio da planície alentejana. A relação qualidade-preço é justa e mostra que é possível fazer bem, receber bem e fazer o hóspede sentir-se em casa, sem praticar preços causticantes… Muitos parabéns!
"
28,"A Herdade das Barradas da Serra é dos poucos locais que nos permite realmente relaxar e abstrairmo-nos do stress do dia-a-dia. É ideal para ir em casal e deixar os miúdos em casa. O silêncio permite-nos estar na piscina ou simplesmente passear na Herdade e esquecermo-nos que estamos perto de Grândola, proximidade essa muito conveniente para à noite em 10min estar no centro de Grândola a jantar. O pequeno-almoço é 5 estrelas, com produtos frescos e locais. Os quartos são confortáveis e bem decorados. Todo o staff é de uma enorme simpatia.
"
29,"Propriedade magnífica, alojamentos com tudo o que é necessário, áreas exteriores muito bem cuidadas com arquitetura paisagística apropriada, piscina de uma limpeza irrepreensível, espaço comum acolhedor, alpendre a convidar a longos serões, tudo isto somado à grande simpatia e profissionalismo da proprietária e de todo o seu staff. Todas as condições para se especializar com sucesso num destino exclusivo a adultos. A repetir em qualquer época do ano.
"
30,"Paz e Tranquilidade numa casa pensada para nos proporcionar bem-estar. Quando saímos, quisemos de imediato marcar outro fim de semana...infelizmente sem êxito porque tudo já tomado para a data que nos convinha. Gostámos imenso: da paisagem, do bom gosto do conjunto arquitetónico e da adaptação muito bem conseguida, do quarto comodíssimo e espaçoso, do optimo pequeno almoço, da simpatia. Vamos voltar...se nos ""deixarem"" um quarto vago!
"
31,"A proprietária e o seu staff são muito simpáticos e profissionais, é muito agradável sentirmo-nos tão bem recebidos à chegada. A herdade encontra-se muito bem cuidada, o espaço é acolhedor, os quartos são espaçosos e muito bem decorados, é notório a atenção ao detalhe. As zonas de laser e estar são muito agradáveis, mesmo com ocupação máxima sentimos que existe privacidade e espaços que apelam ao sossego e descanso.  O pequeno almoço é caseiro e variado, não perder os sumos naturais e os bolos caseiros.  Recomendo!!
"
32,"Recomendo vivamente!Espaço muito bonito, típico alentejano, com alguns pormenores engraçadas alusivos à cortiça. Muito Acolhedor, staff simpático, decoração rústica e cozy , pequeno almoço generoso e caseiro, e o cantar dos pássaros e as vistas do montado, criam o contexto para um desanuvio a repetir. Um bom refúgio para abrandar com paz e sossego.
"
33,"Somente a uma hora e pouco de Lisboa com acessos espectaculares entra-se num mundo à parte com quartos super espaçosos e bem decorados, uma simpatia fantástica por parte dos proprietários e staff. Excelente pequeno almoço e possibilidade de se fazer belas caminhadas. Numa palavra - TOP!!!
"
34,"Turismo rural de excelência. Os quartos são espaçosos,confortáveis e decorados com muito gosto. Espaços exteriores impecáveis! Dispõe de piscina exterior e trilhos para percursos pedestres. Pequeno almoço de qualidade,servido até às 11 horas . Todos os colaboradores são muito simpáticos e atenciosos. Recomendo esta experiência que eu, certamente , irei repetir.
"
35,"Adoramos!   A herdade, a localização, o tratamento, a comida.... TUDO... um verdadeiro paraíso!  Pessoas fantásticas, o espaço é maravilhoso e está tudo muito bem cuidado. Somos sempre bem MUITO BEM recebidos!  O acolhimento e disponibilidade de todos foi EXCELENTE. O espaço é deslumbrante e sossegado e está próximo das melhores praias da Costa Alentejana. Do melhor para descansar e repor energias - muita tranquilidade! Já estamos com saudades de TODOS (incluímos aqui o Benji e o Zacarias!)  Voltaremos certamente a repetir muitas vezes!  Muito obrigada!
"
36,"A herdade é enorme , de fácil acesso ,localizado perto das praias magníficas, de locais a conhecer e restaurantes excelentes .Os quartos , suítes e estúdios são ótimos para todos os tipos de estadia .pequenos almoços deliciosos com produtos caseiros . Também servem refeições ligeiras durante o dia . Limpeza sem defeito . Piscina imaculada é bem tratada . Há imensos espaços de lazer e descanso , relaxantes . Os donos são muito amáveis , sempre presentes .  Funcionários excelentes . Tem percursos pedestres para fazer com vários graus de dificuldade . Muito obrigada por existirem e nos tratarem tão bem
"
37,"Encontramos em um só lugar beleza, tranquilidade e uma recepção de primeira qualidade.Nada nos faltou! A proprietária, muito amável, nos ensinou tudo sobre a região, com sugestões de passeios e restaurantes. Nos sentimos em casa. Regressaremos com certeza!
"
38,"Tudo 5 estrelas. Localização excelente, tudo aquilo que o Alentejo pede... Funcionários super simpáticos, proprietária 500 estrelas. Maravilhoso espaço Aconselho vivamente  Até o cão da propriedade deixou saudades  Obrigado por tudo, Irei regressar
"
39,"Considero ser excelente a todos os níveis. Conforto, tranquilidade, pequeno almoço bastante variado, a beleza da herdade é sem dúvida de salientar. A herdade é indicada para efectuar caminhadas, corrida trail ou btt, com trajectos onde se pode admirar a fauna e flora locais.
"
40,"Nada melhor e mais tranquilo do que passar um dia nesta Herdade , a simplicidade também tem que ser apreciada, o pequeno almoço fantástico , servido com uma enorme simpatia , a proprietária e a família sempre dispostos a tudo para que nada falte. Vou seguramente  regressar.
"
41,"Adoro a tranquilidade a natureza, o enquadramento e os pormenores decorativos, atendimento muito profissional com o pequeno almoço com sabores tradicionais. Percursos pedestres fenomenais com ribeiras naturais de água límpida, avistando cavalos e carneirinhos e outras espécies espalhadas pela serra!
"
42,"Espaço muito bem organizado, estruturado e muito acolhedor. Respira-se natureza e tranquilidade neste maravilhoso turismo rural. Perto da praia de melides e de outras praias. Serviço excelente e pessoal muito profissional. Voltarei de certeza.
"
43,"Herdade bastante bonita organizada, excelente para descansar, passear e usufruir das instalações com excelente decoração, quartos muitos bons e o pessoal bastante simpático e prestável. Muitas Felicidades a todos.
"
44,"Herdade de gestão familiar, com excelente qualidade, verificada nos mais pequenos pormenores.  Decoração formidável, cuidado extremo na limpeza e manutenção dos espaços exteriores, com destaque para o telheiro/alpendre reconfortante onde podemos beneficiar de toda a paz e serenidade. Pequeno almoço com ótimos produtos caseiros. A herdade dispõe de circuitos, com paisagens magníficas, devidamente marcados. Beneficia de uma localização formidável, próxima da entrada da auto-estrada e de fácil acesso às praias. Claramente uma referência de alojamento de qualidade. Parabéns.
"
45,"Numa curta estadia pude apreciar a excelente localização e toda a atenção dada à integração de um alojamento de alta qualidade numa herdade em laboração. A piscina e o pequeno almoço ficam na memória!  Na verdade, para além do calor abrasador nos espaços exteriores, não me consigo lembrar de nada menos positivo na experiência.
"
46,"Propriedade muito bonita. A gestão hoteleira é muito profissional e marca a diferença. Não é só uma herdade com uns quantos para alugar. è um hotel rural com muita qualidade. Excelente pequeno almoço, quartos muito confortáveis. Não deixe de fazer um dos percursos dentro da herdade.
"
47,"Fiz uma pesquisa exaustiva até me decidir por este espaço. Optei por alojar-nos na suite para uma estadia a dois. Foi uma boa escolha, um quarto grande, calmo, com uma cama de casal grande, sofás, terraço e casa de banho. A suite estava decorada de uma forma rural mas clásica, com muitos pormenores giros, não entanto tenho a dizer só uma coisa menos positiva. Em relaçao qualidade-preço eu estava a espera de uma suite mais impressionante, com uma banheira maior por exemplo com possibilidade de poder encher a banheira enteira com agua para poder relaxar.   A equipa da Herdade é excelente, muito amável e simpática. O pequeno almoço foi incrível, muito completo e numas instalaçoes tanto exteriores como interiores muito agradáveis.   Gostavamos especialmente da variedade de
"
48,"Excelente local para relaxar, a dois, entre amigos ou em família. Muito próximo da saída da auto estrada. Fantástica recepção por parte de toda a equipa. Trilhos fabulosos, não deixem de levar calçado prático porque qualquer trilho vale a pena. Pequeno-almoço soberbo.
"
49,"Fomos recebidos com muita simpatia neste canto de calma no meio do verde. Quartos confortáveis e agradáveis. Linda sala com uma lareira deliciosa. Tem uma piscina que deve ser muito agradável no verão, estamos desejosos de a experimentar também. Vamos regressar, soube a pouco.
"
50,"Já tive oportunidade de conheçer alguns espaços do genero em Portugal, mas nada comparado com a Herdade das Barradas da Serra, pelo enquadramento e ambiente, pela qualidade dos quartos e espaços em que circulamos, e tambem pela qualidade de serviço e simpatia como fomos recebidos. Será definitavamente daqui em diante o meu local de eleição e refugio, para regressar sempre que me for possível.
"
51,"Com uma piscina exterior com espreguiçadeiras, aluguer de bicicletas para poderes usar em passeios em família e a unidade também dispõe de um bar e um snack-bar. Os quartos e suites estão decorados com vista a tirar o máximo proveito da  luz natural. Grande parte dos quartos com acesso direto para o terraço e para a área da piscina. Todos os quartos são climatizados e tem uma televisão, área de estar, cofre e casa de banho privativa com secador de cabelo e produtos de higiene pessoal gratuitos.  O acesso Wi-Fi está disponível gratuitamente neste alojamento de turismo rural. O pequeno-almoço é servido todas as manhãs na propriedade, vários restaurantes locais estão disponíveis a uns escassos 5 minutos de carro.  O hotel encontra-se localizada numa propriedade rural com 600
"
52,"É um local muito agradável para relaxar, com um excelente atendimento, com tudo aquilo que uma pessoa precisa quando vai passar um fim de semana em paz e sossego para o litoral alentejano. Já estive em vários lugares ao longo da Costa Alentejana e este foi, de longe, o melhor. Sítio a regressar, sem dúvida!
"
53,"Um excelente local de repouso com todos os detalhes para nos fazer sentir em casa desde o jornal diário à revista de decoração ou de viagens, à manta, à musica ambiente, aos sumos na cama..... Um pequeno almoço fantástico  e acima de tudo um acolhimento pelos donos excepcional e caloroso.
"
54,"2 dias em Setembro. Tudo impecável e a pensar no conforto. Bom gosto, muito limpo e com óptimo pequeno almoço. A dona e o Staff de grande simpatia. Recomendo para uma fuga a 2 a 100km de Lisboa. A melhor praia do país está a 15m (Aberta Nova), e gastronomia da região muito rica. Parabéns ao HBS
"
55,"Do melhor para descansar e repor energias, muita tranquilidade, bom gosto e simpatia aos molhos. Para os miúdos também é ótimo porque a natureza a volta e do melhor e andam a vontade dentro da herdade. A repetir muitas vezes.
"
56,"Na sequência da marcação de um salto de para-quedas, Eu e a minha namorada reservamos uma noite na Suite júnior deste estabelecimento. Ao fim de 15 minutos , já nos havíamos arrependido de termos reservado apenas uma noite. Um espaço muito bem cuidado com pessoas extremamente simpáticas e prontas a ajudar, recomendo vivamente tanto para escapadelas românticas como para famílias que gostem de relaxar, envoltos em natureza. Experiência 5* , sem dúvida para repetir.
"
57,"A Herdade das Barradas da Serra é o paraíso no Alentejo. A beleza da paisagem, o conforto dos quartos e dos outros espaços sociais, e a inesgotável simpatia das pessoas que nos receberam tornaram a nossa estadia inesquecível. Para além de podermos usufruir da tranquilidade da herdade, podemos também participar em várias atividades, tais como caminhadas, passeios de bicicleta, entre outras. É de referir ainda o excelente brunch/pequeno-almoço com uma enorme variedade de produtos regionais que primam pela qualidade. Destaca-se também a localização da herdade, que constitui a combinação perfeita entre o campo e a praia, apenas a uma hora de Lisboa. É a estadia perfeita tanto em épocas mais quentes (a piscina é fantástica), como em alturas mais frias (a lareira na sala-de-estar é
"
58,"Apesar de uma estadia curta, deu para sentir um ambiente familiar, muito acolhedor, e uma vontade enorme de voltar em breve, com mais tempo!  O alojamento é confortável e bem equipado. Nota-se uma grande preocupação com cada detalhe.  O ambiente é rural e temos a possibilidade de praticar caminhadas, com 04 percursos marcados, e também o aluguer de bicicletas para a prática de BTT.  A localização é excelente, na encosta das Serra Grândola mas próximo do centro da vila.
"
59,"Senti-me em casa na Herdade. Descansamos em família, o acolhimento e disponibilidade de todos foi excelente. O espaço é deslumbrante e sossegado. Apropriado para qualquer tipo de estadia. Próximo das melhores praias da Costa Alentejana.
"
60,"A herdade, pela sua localização, reúne o melhor de 2 mundos: praia e campo num cenário idílico. Os funcionários são muito atenciosos o que torna o serviço excelente. Está tudo muito cuidado e organizado. Ideal para uma estadia romântica ou em família. A repetir muito em breve!
"
61,"Localização estupenda, recepção calorosa, tudo corre às mil maravilhas. Optimo para descansar, para viver na natureza. Excelente gosto na decoração. Muito bom para as crianças conviverem com animais e no campo. Recomendo vivamente!!!!!!!!!
"
62,"A Herdade encontra-se num sitio mto bonito com uma vista sensacional sobre os campos alentejanos. Foram umas ferias mto relaxadas, a piscina é optima, ficámos num dos quartos standard e achamos q tinha um tamanho acima do q se encontra normalmente nos hoteis. Toda a herdade está decorada com gosto e a organização é excelente e mto prestativa. O pequeno almoço era optimo com produtos frescos e da zona. Mtos espaços para se estar a ler ou simplemente a apanhar a brisa da noite. Esperamos regressar mais vezes para carregar baterias!
"
63,"Espaço óptimo para descansar e desfrutar a natureza! Espaço com requinte, muito organizado e bem cuidado! De realçar a amabilidade dos proprietários e funcionários. É a nossa terceira vez, recomendamos vivamente!
"
64,"O melhor turismo de habitação onde já estive. Pequeno almoço delicioso, quartos amplos e muito limpos, excelente atendimento. Perto de boas praias e restaurantes. Piscina e zona envolvente muito boa, tudo muito bem cuidado, tudo perfeito. Herdade muito bonita. Recomendo vivamente.
"
65,"Excelente herdade para passar uns dias em tranquilidade e perfeito relax. Os donos da herdade uma simpatia e sempre prontos a ajudar no que se mostrar necessario, lembro que necessitei de gelo para beber um whiskey ja passava da meia noite e gentilmente o gelo apareceu no meu quarto. Quarto confortavel e bem decorado e um pequeno almoço buffet de grande qualidade com produtos frescos e saborosos. Uma piscina agradavel e bem tratada. Gostei e recomendo.
"
66,"Estive no passado fim de semana e pela 1ª vez, nesta Herdade. Adorei... Herdade que convida ao descanso, para recarregar baterias... Sítio muito organizado, confortável e muito agradável. Os proprietários, extremamente amáveis, disponíveis e muito simpáticos, fazendo-nos sentir, em família e ente amigos. Quartos confortáveis e agradáveis. Serviço de pequeno almoço, buffet, com muita qualidade. Queremos voltar e recomendo vivamente esta Herdade. Vão gostar tanto, como nós gostámos.
"
67,"Herdade muito simpática, onde tudo é pacifico e organizado. Os donos da herdade são muito simpáticos e disponíveis para que o hospede tenha o máximo de bem estar possível. Lugar propício para quem quer ter uns dias de paz e sossego, longe do rebuliço e stress da cidade.
"
68,"Encantador e autêntico hotel no meio da natureza. Os quartos são adoráveis. O serviço é muito gentil. O café da manhã é delicioso e menção especial para o delicioso azeite da casa que você pode comprar para trazer de volta para casa. Recomendo vivamente a Herdade das Barradas da Serra e espero voltar em breve.
"
69,"Uma jóia. Você sente imediatamente em casa e à vontade nesta propriedade muito bem cuidada. A anfitriã e os funcionários demonstram esta genuína e única sensação de hospitalidade portuguesa. Quarto amplo e confortável. Adorável e variado opções de café-da-manhã. Nós jantamos duas vezes - luz mas opções saborosas. Ficamos 3 noites e esperamos voltar. Fui duas vezes caminhando na plantação de carvalho (5 a 10 km de caminhada). Tranquila, mas a 15 minutos da agitação à beira-mar. Minha combinação perfeita de elegância da natureza e verdadeira hospitalidade.
"
70,"Se viajar para a região de Comporta / Gr ndola, esta é uma ótima opção. O proprietário e a equipe fizeram tudo o que é necessário para garantir que nossa família aproveitasse a casa de campo e o que a região tem a oferecer. Praias da região são fantásticas.
"
71,"O lugar perfeito para desfrutar de um pouco de paz e tranquilidade no campo, embora muito perto de algumas praias agradáveis. A estrutura é nova e bem mantida. Nós apreciamos ter uma caminhada na quinta eo café da manhã foi incrível. A única nota negativa é que o proprietário mantido refazendo estávamos apenas ficar uma noite, e então ela fez quando reclamamos que o wifi não estava funcionando em nosso quarto. Ela apenas sugeriu tentar ligar e desligar o roteador e não tomou nenhuma ação para resolver o problema.
"
72,"Meu marido e eu ficamos na Herdade das Barradas da Serra para duas noites e não foi o suficiente!! Em Primeiro lugar, as coordenadas de GPS são no local. O hotel está perfeitamente localizado: 5 min/ carro para chegar ao centro de Grândola, longe o suficiente para ser realmente calmo e para ver Sky incrível clara à noite! Se você gosta de contemplar os começa, você vai adorar a estadia aqui! E não se esqueça, a apenas 20-30 min. até a praia de Tróia ou Comporta. E para aqueles que estão vindo de longe, a auto-estrada fica apenas a 10 min de distância. Em segundo lugar, os quartos são lindos! A decoração, a atenção ao detalhe, a limpeza - simplesmente perfeito. Os quartos são amplos, com uma cama king size, área de estar, A/C no quarto e banheiro, nice área área de estar na
"
73,"Nós ficamos 2 noites aqui, e foi realmente impressionante. Cada quarto é tão único e o nosso quarto estava impecável e muito grande, com uma cama king size e área de estar. À noite você pode tomar um café ou chá à beira da lareira e ler um livro. Recomendamos este lugar para uma estadia relaxante no Português Alentejo rural.
"
74,"Um lugar esteja no maravilhoso para alcançar a paz de espírito. Excelente localização, perto de praias incrível, Grândola, bela natureza e rodeado por vários lugares com comida deliciosa. Herdade Barradas da Serra é um dos melhores lugares já estive, os anfitriões são extremamente agradável com uma hospitalidade de 5 estrelas. Eu vou definitivamente recomendados e voltar!!
"
75,"Se hospedar no herdade das Barradas da Serra foi um verdadeiro prazer. O Farm fica em uma paisagem calma e tranqüila, você compreender o Real significado de férias como você não muito. A atmosfera foi muito simpática, todas as instalações foram moderno, limpos e em perfeito forma e ainda assim você ainda pode ver e sentir a história que é contada por todos os Old cork farm edifícios que são agora convertidos em casas.Além disso recebi informações muito sobre o PORTUGUÊS tradição de produção de cortiça do anfitrião, o Sr. luis dias, muito interessante!
"
