sentiment,review
positive,"Um otimo espaco para jantar com a familia otima comida um exelente atendimento, esta de parabens o sr. Jose um empregado super humilde e muito atencioso que nos deu uma otima sugestao do que comer"
positive,"Excelente espaco, carta variada nao ha so frango como se pensa pelo nome. Atendimento e comida excepcional. Recomendo vivamente"
positive,Muito bom!! Limpeza Simpatica dos funcionarios Estacionamento Boa comida Rapidez Preco- barato Adoreiiiiii
positive,"Gastronomia de qualidade. Otimo servico de atendimento, profissionalismo de topo, boa localizacao e instalacoes confortaveis."
positive,Ementa muito variada(e que inclui comida tipica Alentejana). Muita qualidade na comida e excelente apresentacao... A simpatia de todo o Staff e de parabenizar...! Extraordinario! Sem duvida a repetir! Ah e adoramos a decoracao do espaco...muito bom gosto!
positive,"Vim em jantar de familia, muito boa comida, atendimento excelente, muito simpaticos, recomendo vivamente!!"
positive,"Desde as entradas,ao franguinho  Sobremesas caseiras do melhor que ha. Simpatia dos funcionarios"
positive,"Mesa pronta, atendimento rapido e de qualidade, comida otima, apresentacao excelente. Obrigada e ate a proxima!"
positive,Nada melhor para acabar a refeicao.... Esta foto e o espelho do excelente servico... Recomendo vivamente!! Atendimento 5 estrelas
positive,Passamos em Beja e calhou de entrarmos. Bom servico e boa comida a preco justo. Nao desilude. Aconselho
positive,"Muito bom ambiente, belissimo servico e grande qualidade nos pratos pedidos. Recomendamos vivamente."
positive,"Espaco muito agradavel, bom servico e simpatia! Tem um otimo choco frito a setubalense, que e sem duvida um prato de eleicao! Adequado para jantares mais calmos ou jantares com amigos. Preco acessivel e otima relacao qualidade/preco. Recomendo!"
positive,"Experiencia unica, excelente atendimento e simpatia. Confeccao e qualidade. Sabores incriveis, experiencias unicas. Recomendo"
positive,"Costumo encomendar frequentemente neste restaurante, contudo hoje, apos ter encomendado presa com camarao tigre, fiquei bastante dececionada, como poderao visualizar na imagem. Um camarao que de tigre nada tem, e a nivel de sabor e confeccao deixou muito a desejar."
positive,"Local com uma decoracao fantastica. Ementa com pratos variados (frango assado, carnes de porco preto, vitela, etc.) e com sabores excelentes. Tem igualmente uma otima carta de vinhos. Staff atencioso. Servico rapido. Recomendo!"
positive,Bom restaurante... Simpatia e qualidade de refeicao Parabens. Visitei em Beja e foi muito bom. Vou voltar com certeza.
positive,"Muito bom, com umas entradas muito boas, acompanhado com uma excelente sangria, comida muito bem confecionada,e com a simpatia dos funcionarios. Recomendo."
positive,"Excelente. Gastronomia de qualidade. Otimo servico de atendimento, profissionalismo de topo, boa localizacao e instalacoes confortaveis."
positive,"Lugar excelente, comida muito boa. Otimo atendimento!!! Local muito lindo e aconchegante. Recomendo!"
positive,Fui a frango a guia . Adorei a culinaria . Os servico de mesa . Tudo fantastico parabem a todo equipe
positive,Servico de excelencia. Decoracao irrepreensivel. Pratos variados e diferenciados. O frango a Guia e delicioso. Atendimento competente e atencioso.
negative,Experiencia maravilhosa. Todo o staff e muito simpatico e prestavel A comida e simplesmente divinal. Irei voltar sem qualquer duvida
positive,"Recomendo plenamente este restaurante, pelo espaco acolhedor e humilde que transmite pela toda a simpatia ao redor. Um espaco familiar, com muito boa comida e bom vinho. Recomendo vivamente o restaurante 'Frango a Guia'."
positive,Servico excelente tal como a comida que nos foi servida. Queria tambem sublinhar a simpatia dos empregados. Restaurante para repetir mais vezes!
positive,"O nome pode enganar. Eu nunca comi frango, porque nao como carne, e mesmo assim tenho a escolha um variado e saboroso menu de peixes a vegetais, bem como boa carta de vinhos. Espaco com decoracao cuidada, equipa delicada e dedicada, e todas as regras Boa tarde caro Bruno, Agradecemos desde ja a sua visita e as suas palavras relativamente ao espaco, a comida e ao servico. Obrigado pelas sua recomendacao. Ficamos a aguardar nova visita em breve :) Cumprimentos."
negative,"Optima escolha onde tudo e agradavel ... staff impecavel , location espetacular obrigatorio parar para passar um bom bocadinho de tempo"
positive,"Fui a este restaurante em Julho de 2021 para almocar com familia. Excelente atendimento, o espaco e muito bonito e bem decorado, mas mantem uma preocupacao notoria com as condicoes de saude e seguranca dos clientes, pois as mesas apresentam-se bem distanciadas e com acrilicos Boa tarde cara(o) dfsantos2, Agradecemos desde ja a sua visita e as suas palavras. A forma como descreveu a sua experiencia gastronomica deixa-nos preenchidos e tremendamente satisfeitos. Muito obrigado pela recomendacao Ate breve. Cumprimentos."
positive,"Durante a nossa visita, fomos extremamente bem tratados. Um atendimento excepcional, a refeicao tal como o vinho que nos ajudaram a escolher, tudo excelente...uma atmosfera ideal. Comparacao refeicao, preco muito justa, aconselhamos a qualquer pessoa que aprecia uma boa refeicao e atendimento top assim como Boa tarde cara(o) zt4jiggy, Agradecemos desde ja a sua visita e as suas palavras, e a forma como descreveu a sua experiencia gastronomica. Gratos pela recomendacao Ate breve. Cumprimentos."
positive,"Comemos muitissimo bem. Das as entradas as sobremesas, o empratamento e muito bom. Os empregados sao atenciosos e muito simpaticos. Gostei, e vou voltar!"
positive,"Sem palavras, demasiado incrivel toda a experiencia! Desde uma otima qualidade a um impressionante atendimento"
positive,"A comida, o tempero, o sabor, o aroma sao amazing, os atendimentos sao incriveis, super simpaticos e carismatico. Recomendo a todos que tem um paladar excepcional, para degustarem essa maravilha."
positive,"Um restaurante fantastico, que aconselho com uma fantastica e variada cozinha, um otimo servico,adorei as entradas a apresentacao dos pratos mas sobretudo o sabor e simpatia com que gui recebido."
positive,"Atendimento fantastico, a comida com uma qualidade de excelencia, o espaco e super acolhedor, e com todas as medidas de seguranca."
positive,"Servico excelente, pratos tipicos e variados, mas com requinte, servidos num espaco agradavel, no nosso caso, explanada fechada, com todas as medidas de seguranca. Atendimento excelente. Recomendo vivamente"
positive,"Comida muito bem confeccionada, tanto grelhados como comida de tacho, e um servico muito eficaz! Keep Going!"
positive,Muito bom! Grande restaurante na cidade Beja! Contempla diversos pratos tipicos da regiao assim como outros! 5 estrelas
negative,"Durante muito tempo frequentei este estabelecimento mas a qualidade tem caido a pico. estao sempre com falta de pessoal a servir. a carne de porco ou vem queimada ou crua. as batatas fritas muito gordurosas e moles,  e a cozinha e muito lenta. ate com Boa tarde caro Luis. Lamentamos que a sua experiencia no nosso restaurante nao tenha ido ao encontro do pretendido, entretanto permita-nos que se refira, apos falar com a equipa, que se concluiu que nunca partilhou com o staff a sua insatisfacao ou qualquer referencia negativa Restaurante com um atendimento muito simpatico e rapido. Uma sala bem decorada, muito limpa e confortavel para familias, incluindo bebes. Em relacao as regras da Covid 19 o espaco respeita as normas e adoptou estrategias inteligentes para evitar contagios. A comida e optima e com Boa tarde cara(o) Qfhjdgk, Agradecemos desde ja a sua visita e as suas palavras relativamente ao espaco, a comida e ao servico. Obrigado pelas sua recomendacao. Ate breve. Cumprimentos."
negative,"Atendimento demorado e ha pressa sem qualquer cuidado com o cliente, batatas fritas que parecem restos do almoco, almoco muito negativo"
positive,"Espaco bastante acolhedor, comida espetacular e atendimento muito simpatico. Recomendo vivamente a quem passar por Beja"
positive,"Uma agradavel surpresa na cidade de Beja! Comida fantastica, staff atencioso (principalmente com as criancas), educado e disponivel! Destaco as medidas de protecao no ambito da Covid-19, separadores entre mesas, desinfetante e talheres em bolsas individuais. Todos os colaboradores com mascara e cumprindo as regras Boa tarde caro(a) VVRG, Agradecemos desde ja a sua visita e a forma como descreveu a sua experiencia gastronomica. Obrigado pelas suas palavras. Cumprimentos."
negative,"Em visita a este restaurante estivemos hora e meia a espera da comida nao bastando na sobremesa o empregado foi buscar as colheres a duas mesas que ja tinham passado pelas maos de outras pessoas o que e uma falha muito grande e falta de Boa tarde caro Ilidio F, Agradecemos desde ja a sua visita e lamentamos o que refere na medida que o Frango a Guia em Beja incutiu nos seus principios e regras basilares o cumprimento rigoroso de todos procedimentos de higiene e seguranca, em prol do Experimentamos sopa, entradas, carnes grelhadas, vinho e sobremesas. Foi tudo muito bom. O atendimento tambem esteve muito bem. Recomendo Boa tarde caro Luis Rosario, Agradecemos desde ja a sua visita e a forma como descreveu a sua experiencia gastronomica. Obrigado pela sua recomendacao. Cumprimentos."
positive,"Infelizmente, um problema enorme com a equipe, servico ruim muito lento, equipe nao treinada ou nao tem nenhuma ideia sobre o servico, tivemos a sorte de chegar cedo e so tivemos que pedir ao garcom 5 vezes para itens esquecidos, uma vez que incluia um jantar que foi deixado no bar ! Pelo menos 3 grupos de pessoas a esquerda enquanto estavamos la cumprindo ferozmente com o garcom. A vergonha como a comida era um 7/10."
